DEC,HEX,Mode,Alpha Tag,Description,Tag
10058,274a,D,SPEV D10,Special Event 10 New MLS Stadium,Multi-Tac
10059,274b,D,SPEV D11,Special Event 11,Multi-Tac
10060,274c,D,SPEV D12,Special Event 12,Multi-Tac
10061,274d,D,SPEV D13,Special Event 13,Multi-Tac
10062,274e,D,SPEV D14,Special Event 14,Multi-Tac
10063,274f,D,SPEV D15,Special Event 15,Multi-Tac
10350,286e,TE,NFD B1 Disp,Main Dispatch B1,Fire Dispatch
10351,286f,TE,NFD B2 SOC,Special Operations B2,Fire-Tac
10352,2870,TE,NFD B3 FD Admin,Fire: Admin B3,Fire-Talk
10353,2871,TE,NFD B4 SOC,Special Operations B4,Fire-Tac
10354,2872,TE,NFD B5 EMS Admin,EMS: Admin B5,EMS-Talk
10355,2873,TE,NFD B6 TOC,Tactical Operations B6,Fire-Tac
10356,2874,TE,NFD B7 TOC,Tactical Operations B7,Fire-Tac
10357,2875,TE,NFD B8 TOC,Tactical Operations B8,Fire-Tac
10358,2876,TE,NFD B9 TOC,Tactical Operations B9,Fire-Tac
10359,2877,TE,NFD B10 TOC,Tactical Operations B10,Fire-Tac
10360,2878,TE,NFD B11 TOC,Tactical Operations B11,Fire-Tac
10361,2879,TE,NFD B12 TOC,Tactical Operations B12,Fire-Tac
10362,287a,TE,NFD B13 TOC,Tactical Operations B13,Fire-Tac
10363,287b,TE,NFD B14 TOC,Tactical Operations B14,Fire-Tac
10364,287c,TE,NFD B15 TOC,Tactical Operations B15,Fire-Tac
10365,287d,TE,NFD B16 TOC,Tactical Operations B16,Fire-Tac
10365,287d,D,NFD C2,Tactical Operations C2,Fire-Tac
10366,287e,D,NFD C3,Tactical Operations C3,Fire-Tac
10367,287f,D,NFD C4,Tactical Operations C4,Fire-Tac
10368,2880,D,NFD C5,Tactical Operations C5,Fire-Tac
10369,2881,D,NFD C6,Tactical Operations C6,Fire-Tac
10370,2882,D,NFD C7,Tactical Operations C7,Fire-Tac
10371,2883,D,NFD C8,Tactical Operations C8,Fire-Tac
10372,2884,D,NFD C9,Tactical Operations C9,Fire-Tac
10373,2885,D,NFD C10,Tactical Operations C10,Fire-Tac
10374,2886,D,NFD C11,Tactical Operations C11,Fire-Tac
10375,2887,D,NFD C12,Tactical Operations C12,Fire-Tac
10376,2888,D,NFD C13,Tactical Operations C13,Fire-Tac
10377,2889,D,NFD C14,Tactical Operations C14,Fire-Tac
10378,288a,D,NFD C15,Tactical Operations C15,Fire-Tac
10701,29cd,DE,NFD C2 ENC,Tactical Operations C2,Fire-Tac
10702,29ce,DE,NFD C3 ENC,Tactical Operations C3,Fire-Tac
10703,29cf,DE,NFD C4 ENC,Tactical Operations C4,Fire-Tac
10704,29d0,DE,NFD C5 ENC,Tactical Operations C5,Fire-Tac
10705,29d1,DE,NFD C6 ENC,Tactical Operations C6,Fire-Tac
10706,29d2,DE,NFD C7 ENC,Tactical Operations C7,Fire-Tac
10707,29d3,DE,NFD C8 ENC,Tactical Operations C8,Fire-Tac
10708,29d4,DE,NFD C9 ENC,Tactical Operations C9,Fire-Tac
10709,29d5,DE,NFD C10 ENC,Tactical Operations C10,Fire-Tac
10710,29d6,DE,NFD C11 ENC,Tactical Operations C11,Fire-Tac
10711,29d7,DE,NFD C12 ENC,Tactical Operations C12,Fire-Tac
10712,29d8,DE,NFD C13 ENC,Tactical Operations C13,Fire-Tac
10713,29d9,DE,NFD C14 ENC,Tactical Operations C14,Fire-Tac
10714,29da,DE,NFD C15 ENC,Tactical Operations C15,Fire-Tac
10715,29db,DE,NFD C16 ENC,Tactical Operations C16,Fire-Tac
1343,53f,DE,F D2DIR,NFD Unit-to-Unit D2,Fire-Tac
1345,541,DE,F D3ADM,NFD Administration D3,Fire-Tac
1413,585,DE,F D4PIO,NFD Public Information Officer D4,Fire-Tac
1415,587,DE,F D5ADM,NFD Administration D5,Fire-Tac
1355,54b,DE,F D6TA1,NFD Training 1 D6,Fire-Tac
1357,54d,DE,F D7TA2,NFD Training 2 D7,Fire-Tac
1421,58d,DE,F D8TA3,NFD Training 3 D8,Fire-Tac
1359,54f,DE,F D9FMO-1,NFD Fire Marshall 1 D9,Fire-Tac
1361,551,DE,F D10FM0-2,NFD Fire Marshall 2 D10,Fire-Tac
1411,583,DE,F D11FM0-3,NFD Fire Safety D11,Fire-Tac
1347,543,DE,F D12FMO-4,NFD Fire Arson D12,Fire-Tac
1417,589,DE,F D13ADM,NFD Administration D13,Fire-Tac
1391,56f,DE,F D14REB,NFD Fire Buff Rehab D14,Fire-Tac
1363,553,DE,E1 BAPT,NFD Baptist Hospital,Hospital
1365,555,DE,E2 VANDY,NFD Vandy Hospital,Hospital
1367,557,DE,E3 VPED,NFD Vandy Pediatric Hospital,Hospital
1369,559,DE,E4 MEDCT,NFD Medical Control,Hospital
1371,55b,DE,E5 GENER,NFD General Hospital,Hospital
1373,55d,DE,E6 STTOM,NFD St Thomas Hospital,Hospital
1375,55f,DE,E7 CMD,NFD Centennial Medical Center,Hospital
1377,561,DE,E8 SUMMT,NFD Summit Hospital,Hospital
1379,563,DE,E9 SKYLN,NFD Sky Line Hospital,Hospital
1381,565,DE,E10 SHIL,NFD Southern Hills Hospital,Hospital
1385,569,DE,E11 VA,NFD Veterans Administration Hospital,Hospital
1387,56b,DE,E12 HOS1,NFD Hospital to Hospital 1,Hospital
1389,56d,DE,E13 HOS2,NFD Hospital to Hospital 2,Hospital
10406,28a6,DE,E14 CCH,NFD Centennial Childrens Hospital,Hospital
003,D,NB1OHC,Central Emergency Line Dispatch,Utilities,5
005,D,NB2OHC1,Central Field 1 Storm Dispatch 1,Utilities,7
007,D,NB3OHC2,Central Field 1 Storm Dispatch 2,Utilities,9
009,D,NB4OHC3,Central Field 1 Storm Dispatch 3,Utilities,11
13,00d,D,NB6OW,West Dispatch,Utilities
15,00f,D,NB7OH1,West Field 1,Utilities
17,011,D,NB8OH2,West Field 2,Utilities
19,013,D,NB9OH3,West Field 3,Utilities
21,015,D,NB10OD,Donelson Dispatch,Utilities
23,017,D,NB11OD1,Donelson Field 1,Utilities
25,019,D,NB12OD2,Donelson Field 2,Utilities
27,01b,D,NB13OD3,Donelson Field 3,Utilities
29,01d,D,NB14LD3,Load Dispatch 3,Utilities
31,01f,D,NB15LD2,Load Dispatch 2,Utilities
33,021,D,NB16LD1,Load Dispatch 1,Utilities
10149,27a5,D,LOAD DISP 1,Load Dispatch 1 (P25),Utilities
35,023,D,NC1US,U S Dispatch,Utilities
37,025,D,NC2US1,U S Field 1,Utilities
39,027,D,NC3US2,U S Field 2,Utilities
41,029,D,NC4US3,U S Field 3,Utilities
43,02b,D,NC5TST1,Test Field 1,Utilities
45,02d,D,NC6TST2,Test Field 2,Utilities
47,02f,D,NC7MTR,Meter Dispatch,Utilities
49,031,D,NC8MTR1,Meter Field 2,Utilities
51,033,D,NC9RE,Meter Reconnect Dispatch,Utilities
53,035,D,NC10RE1,Meter Reconnect Field 1,Utilities
55,037,D,NC11EG1,Engineering 1,Utilities
57,039,D,NC12EG2,Engineering 2,Utilities
99,063,D,NC13SFT,Safety Operations,Utilities
61,03d,D,NC14GS,General Services,Utilities
63,03f,D,NC15FLT,Fleet Maintenance,Utilities
65,041,D,NC16SEC,Facilities Security,Utilities
67,043,D,ND1TEL,Telecommunications 1,Utilities
59,03b,D,ND2SPR,Security Private,Utilities
139,08b,D,ND3TEL2,Telecommunications 2,Utilities
137,089,D,ND4LF,Lost Radio Location,Utilities
101,065,D,ND5911,Mutual Aid To E911 Center,Multi-Dispatch
69,045,D,NES3,NES Spare 3,Utilities
71,047,D,NES4,NES Spare 4,Utilities
73,049,D,NES5,NES Spare 5,Utilities
75,04b,D,NES6,NES Spare 6,Utilities
77,04d,D,NES7,NES Spare 7,Utilities
79,04f,D,NES8,NES Spare 8,Utilities
81,051,D,NES9,NES Spare 9,Utilities
83,053,D,NES10,NES Spare 10,Utilities
85,055,D,NES11,NES Spare 11,Utilities
87,057,D,NES12,NES Spare 12,Utilities
89,059,D,NES13,NES Spare 13,Utilities
91,05b,D,NES14,NES Spare 14,Utilities
93,05d,D,NES15,NES Spare 15,Utilities
95,05f,D,NES16,NES Spare 16,Utilities
97,061,D,NES17,NES Spare 17,Utilities
3067,bfb,D,OFFSITE 1,Airport Authority Ops 1 (offsite),Emergency Ops
3069,bfd,D,OFFSITE 2,Airport Authority Ops 2 (offsite),Emergency Ops
10204,27dc,DE,* P104CNTD E,Central Dispatch,Law Dispatch
10212,27e4,DE,* P112PCMD E,Command 2 Dispatch,Law Tac
10213,27e5,DE,* P113PCMD E,Command 3 Dispatch,Law Tac
10214,27e6,DE,* P114PCMD E,Command 4 Dispatch,Law Tac
10215,27e7,DE,* P115PCMD E,Command 5 Dispatch,Law Tac
10210,27e2,DE,* P110CWID E,Countywide Dispatch,Law Dispatch
10202,27da,DE,* P102ESTD E,East Dispatch,Law Dispatch
10205,27dd,DE,* P105HRMD E,Hermitage Dispatch,Law Dispatch
10207,27df,DE,* P107MADD E,Madison Dispatch,Law Dispatch
10208,27e0,DE,NPD Midtown H E,Midtown Hills Dispatch,Law Dispatch
10206,27de,DE,* P106NRTD E,North Dispatch,Law Dispatch
10211,27e3,DE,* P108RW E,NPD Records/Warrants,Law Dispatch
10209,27e1,DE,* P109MHD E,Records Warrants,Law Tac
10203,27db,DE,* P103STHD E,South Dispatch,Law Dispatch
10201,27d9,DE,* P101WSTD E,West Dispatch,Law Dispatch
659,293,DE,P201WSTA,NPD West Administrative,Law Tac
667,29b,DE,P202ESTA,NPD East Administrative,Law Tac
669,29d,DE,P203STHA,NPD South Administrative,Law Tac
671,29f,DE,P204CNTA,NPD Central Administrative,Law Tac
673,2a1,DE,P205HRMA,NPD Hermitage Administrative,Law Tac
661,295,DE,P206NRTA,NPD North Administrative,Law Tac
665,299,DE,P207MADA,NPD Madison Sector Administrative,Law Tac
675,2a3,DE,P208ALA1,NPD Common Administrative,Law Tac
663,297,DE,P209ALA2,NPD All Sector Administrative,Law Tac
657,291,DE,P210CWIA,NPD Countywide Administrative,Law Tac
677,2a5,DE,P211TAC1,NPD Tactical Pool 1,Law Tac
679,2a7,DE,P212TAC2,NPD Tactical Pool 2,Law Tac
681,2a9,DE,P213TAC3,NPD Tactical Pool 3,Law Tac
683,2ab,DE,P214TAC4,NPD Tactical Pool 4,Law Tac
685,2ad,DE,P215TAC5,NPD Tactical Pool 5,Law Tac
687,2af,DE,P216TAC6,NPD Tactical Pool 6,Law Tac
739,2e3,DE,P302BOMB,NPD Bomb Squad,Law Tac
697,2b9,DE,P304YTHS,NPD YouthSchool Services,Law Tac
763,2fb,DE,P305SCHL,NPD School Services,Law Tac
737,2e1,DE,P306AVK9,NPD K9 Officers,Law Tac
689,2b1,DE,P307SRV1,NPD Investigative Services 1,Law Tac
691,2b3,DE,P308SRV2,NPD Investigative Services 2,Law Tac
693,2b5,DE,P309SRV3,NPD Investigative Services 3,Law Tac
695,2b7,DE,P310SRV4,NPD Investigative Services 4,Law Tac
733,2dd,DE,P401TRN1,Training 1,Law Tac
757,2f5,DE,P402TRN2,Training 2,Law Tac
767,2ff,DE,P403TRN3,Training 3,Law Tac
769,301,DE,P404TRN4,Training 4,Law Tac
745,2e9,DE,P405TRN5,Training 5,Law Tac
715,2cb,DE,P406FACS,Facilities Security,Law Tac
747,2eb,DE,P407FLET,Fleet Maintenance,Law Tac
749,2ed,DE,P408VIMP,Vehicle Impound,Law Tac
751,2ef,DE,P409 R4,Reserve 4,Law Tac
753,2f1,DE,P410 R5,Reserve 5,Law Tac
755,2f3,DE,P411 R6,Reserve 6,Law Tac
765,2fd,DE,P412 R7,Reserve 7,Law Tac
711,2c7,DE,P413 R8,Reserve 8,Law Tac
643,283,DE,P414 R9,Reserve 9,Law Tac
771,303,DE,P415R10,Reserve 10,Law Tac
775,307,DE,P416R11,Reserve 11,Law Tac
707,2c3,DE,P502SIDP,Intelligence Primary,Law Tac
743,2e7,DE,P503SIDA,Intelligence Alternate,Law Tac
699,2bb,DE,P504VIC1,Vice Operations 1,Law Tac
701,2bd,DE,P505VIC2,Vice Operations 2,Law Tac
703,2bf,DE,P506VIC3,Vice Operations 3,Law Tac
705,2c1,DE,P507VIC4,Vice Operations 4,Law Tac
709,2c5,DE,P508VIC5,Vice Operations 5,Law Tac
777,309,DE,P509TF20,Task Force 20,Law Tac
779,30b,DE,P511WCSU,ND West Crime Suppression Unit,Law Tac
781,30d,DE,P512ECSU,East Crime Suppression Unit,Law Tac
783,30f,DE,P513SCSU,South Crime Suppression Unit,Law Tac
785,311,DE,P514CCSU,Central Crime Suppression Unit,Law Tac
787,313,DE,P515HCSU,Hermitage Crime Suppression Unit,Law Tac
789,315,DE,P516NCSU,North Crime Suppression Unit,Law Tac
791,317,DE,P MAD-CSU,Madison Crime Suppression Unit,Law Tac
793,319,DE,P MID-CSU,Midtown Hills Crime Suppression Unit,Law Tac
759,2f7,DE,P701OPA1,Office of Accountability 1,Law Tac
761,2f9,DE,P702OPA2,Office of Accountability 2,Law Tac
2305,901,D,JUV 1,Juvenile Court Operations 1,Law Tac
2307,903,D,JUV 2,Juvenile Court Operations 2,Law Tac
2309,905,D,JUV 3,Juvenile Court Operations 3,Law Tac
2151,867,D,BELMED D,Police: Dispatch,Law Dispatch
2153,869,D,BELMED A,Police: Administration,Law Tac
2171,87b,D,BERHL D,Police Dispatch,Law Dispatch
2173,87d,D,BERHL A,Police Administration,Law Tac
3301,ce5,D,GDLVL PD 1,Police: Dispatch,Law Dispatch
3303,ce7,D,GDLVL PD 2,Police: Secondary,Law Tac
3311,cef,D,GDLVL PD 11,Police: 3311 (??),Law Tac
3319,cf7,D,GDLVL FD 1,Fire: Dispatch,Fire Dispatch
3321,cf9,D,GDLVL FD 2,Fire: Secondary,Fire-Tac
20100,4e84,DE,WCESTAC1,Tactical 1 (Franklin Fire),Multi-Tac
20101,4e85,DE,WCESTAC2,Tactical 2 (Franklin Fire),Multi-Tac
20102,4e86,DE,WCESTAC3,Tactical 3 (Franklin Fire),Multi-Tac
20103,4e87,DE,WCESTAC4,Tactical 4 (Franklin Fire),Multi-Tac
20104,4e88,DE,WCESTAC5,Tactical 5 (Franklin Fire),Multi-Tac
20105,4e89,DE,WCESTAC6,Tactical 6 (Brentwood Fire),Multi-Tac
20106,4e8a,DE,WCESTAC7,Tactical 7 (Brentwood Fire),Multi-Tac
20107,4e8b,DE,WCESTAC8,Tactical 8 (Brentwood Fire),Multi-Tac
20108,4e8c,DE,WCESTAC9,Tactical 9 (County FD/EMS),Multi-Tac
20109,4e8d,DE,WCESTAC10,Tactical 10 (County FD/EMS),Multi-Tac
20110,4e8e,DE,WCESTAC11,Tactical 11 (County FD/EMS),Multi-Tac
20111,4e8f,DE,WCESTAC12,Tactical 12 (County FD/EMS),Multi-Tac
20112,4e90,DE,WCESTAC13,Tactical 13,Multi-Tac
20113,4e91,DE,WCESTAC14,Tactical 14,Multi-Tac
20114,4e92,DE,WCESTAC15,Tactical 15,Multi-Tac
20115,4e93,DE,WCESTAC16,Tactical 16,Multi-Tac
20116,4e94,DE,WCESTAC17,Tactical 17 (Spring Hill Fire),Multi-Tac
