DEC,HEX,Mode,Alpha Tag,Description,Tag
20116,4e94,DE,WCESTAC17,Tactical 17 (Spring Hill Fire),Multi-Tac
20117,4e95,DE,WCESTAC18,Tactical 18 (Spring Hill Fire),Multi-Tac
20118,4e96,DE,WCESTAC19,Tactical 19 (Spring Hill Fire),Multi-Tac
20119,4e97,DE,WCESTAC20,Tactical 20 (Spring Hill Fire),Multi-Tac
20120,4e98,DE,WCESTAC21,Tactical 21 (WOPS 1),Interop
20121,4e99,DE,WCESTAC22,Tactical 22 (WOPS 1),Interop
20122,4e9a,DE,WCESTAC23,Tactical 23 (WOPS 1),Interop
20123,4e9b,DE,WCESTAC24,Tactical 24 (WOPS 1),Interop
20124,4e9c,DE,WCESTAC25,Tactical 25 (WOPS 5),Interop
20125,4e9d,DE,WCESTAC26,Tactical 26 (WOPS 6),Interop
20126,4e9e,DE,WCESTAC27,Tactical 27 (WOPS 7),Interop
20127,4e9f,DE,WCESTAC28,Tactical 28,Multi-Tac
20128,4ea0,DE,WCESTAC29,Tactical 29,Multi-Tac
20129,4ea1,DE,WCESTAC30,Tactical 30,Multi-Tac
20130,4ea2,DE,WCESTAC31,Tactical 31,Multi-Tac
20131,4ea3,DE,WCESTAC32,Tactical 32,Multi-Tac
